waterfall,file,license,author_html,source_url,commons_title
Tahquamenon Falls,tahquamenon-falls.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/66727626@N00"">James Phelps</a> from USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Upper_Tahquamenon_Falls.jpg,File:Upper Tahquamenon Falls.jpg
Munising Falls,munising-falls.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Michaelpeychich&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Michaelpeychich (page does not exist)"">Michaelpeychich</a>",https://upload.wikimedia.org/wikipedia/commons/9/9b/Munising_Waterfalls.jpg,File:Munising Waterfalls.jpg
Miners Falls,miners-falls.jpg,CC BY-SA 3.0,MJCdetroit,https://upload.wikimedia.org/wikipedia/commons/f/f9/Miners%27_Falls%2C_Michigan1.jpg,"File:Miners' Falls, Michigan1.jpg"
Sable Falls,sable-falls.jpg,Public Domain,"<a rel=""nofollow"" class=""external text"" href=""http://www.goodfreephotos.com"">Yinan Chen</a>",https://upload.wikimedia.org/wikipedia/commons/e/ee/Gfp-michigan-pictured-rocks-national-lakeshore-sable-falls.jpg,File:Gfp-michigan-pictured-rocks-national-lakeshore-sable-falls.jpg
Spray Falls,spray-falls.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/14922165@N00"">Nicholas A. Tonelli</a> from Northeast Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/6c/Silver_Spray_Falls_%28Revisit%29_%281%29_%2813681465643%29.jpg,File:Silver Spray Falls (Revisit) (1) (13681465643).jpg
Wagner Falls,wagner-falls.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Two_Hearted_River&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Two Hearted River (page does not exist)"">Two Hearted River</a>",https://upload.wikimedia.org/wikipedia/commons/4/49/Wagner_Falls.jpg,File:Wagner Falls.jpg
Canyon Falls,canyon-falls.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Royalbroil"" title=""User:Royalbroil"">Royalbroil</a>",https://upload.wikimedia.org/wikipedia/commons/1/1a/CanyonFallsSturgeonRiver.jpg,File:CanyonFallsSturgeonRiver.jpg
Bond Falls,bond-falls.jpg,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Mr.Z-man"" title=""User:Mr.Z-man"">Mr.Z-man</a>",https://upload.wikimedia.org/wikipedia/commons/b/bb/Bond_falls.jpg,File:Bond falls.jpg
Agate Falls,agate-falls.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/66727626@N00"">James Phelps</a> from USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Agate_Falls_%28265409244%29.jpg,File:Agate Falls (265409244).jpg
Ocqueoc Falls,ocqueoc-falls.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/24639704@N08"">Tony Faiola</a> from Mid-Michigan, U.S.A.",https://upload.wikimedia.org/wikipedia/commons/5/56/Ocqueoc_Falls_%288897493304%29.jpg,File:Ocqueoc Falls (8897493304).jpg
Bridalveil Falls (Michigan),bridalveil-falls--michigan.jpg,Public domain,National Park Service,https://upload.wikimedia.org/wikipedia/commons/a/aa/Pictured_Rocks_Bridalveil_Falls.jpg,File:Pictured Rocks Bridalveil Falls.jpg
Manabezho Falls,manabezho-falls.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Shadowmeldphoto"" title=""User:Shadowmeldphoto"">Shadowmeld Photography</a>",https://upload.wikimedia.org/wikipedia/commons/8/89/Waterfall_Rapids_in_Neutral_Density_PLC-WF-1.jpg,File:Waterfall Rapids in Neutral Density PLC-WF-1.jpg
Nawadaha Falls,nawadaha-falls.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Shadowmeldphoto"" title=""User:Shadowmeldphoto"">Shadowmeld Photography</a>",https://upload.wikimedia.org/wikipedia/commons/d/db/Nawadaha_Falls_Neutral_Density_PLC-WF-18.jpg,File:Nawadaha Falls Neutral Density PLC-WF-18.jpg
